;title;rating;ratingLevel;release year;user rating score;user rating size
101;Chelsea;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2017;89.0;82
102;Abstract: The Art of Design;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2017;86.0;82
103;Cooper Barrett's Guide to Surviving Life;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;86.0;82
104;The Great British Baking Show;TV-PG;Parental guidance suggested. May not be suitable for all children.;2016;94.0;80
105;Life in Pieces;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2015;68.0;80
106;Crazy Ex-Girlfriend;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2017;86.0;82
107;Easy;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;89.0;82
108;No Tomorrow;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;86.0;82
109;Minimalism: A Documentary About the Important Things;TV-PG;Parental guidance suggested. May not be suitable for all children.;2016;88.0;82
110;Hot Girls Wanted: Turned On;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2017;89.0;82
111;Win It All;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2017;89.0;82
112;MerlÌ?;TV-PG;Parental guidance suggested. May not be suitable for all children.;2015;88.0;82
113;Amy Schumer: The Leather Special;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2017;89.0;82
114;Louis C.K. 2017;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2017;71.0;80
115;Dave Chappelle;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2017;94.0;80
116;Almost Adults;NR;This movie has not been rated.;2016;77.0;82
117;The Brothers;R;strong sexual content and language;2001;79.0;82
118;Skins;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2013;89.0;82
119;The Cleveland Show;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2012;88.0;80
120;Absolutely Fabulous;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2012;59.0;80
121;Raising Hope;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2013;73.0;80
122;Come Fly With Me;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2010;86.0;82
123;Brickleberry;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2014;63.0;80
124;BoJack Horseman;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;89.0;82
125;Being Mary Jane: The Series;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;86.0;82
126;Unbreakable Kimmy Schmidt;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;86.0;82
127;Bordertown;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;86.0;80
128;Jane The Virgin;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;91.0;80
129;Dope;R;language, drug content, sexuality/nudity, and some violence-all involving teens;2015;79.0;80
130;The Carmichael Show;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;69.0;80
131;November Rule;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2015;86.0;82
132;Haters Back Off;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;58.0;80
133;Kubo and the Two Strings;PG;thematic elements, scary images, action and peril;2016;96.0;80
134;Skins;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2017;89.0;82
135;A Weekend with the Family;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;89.0;82
136;Crazyhead;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;89.0;82
137;Queen of Katwe;PG;thematic elements, an accident scene and some suggestive material;2016;86.0;81
138;Little Boxes;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;61.0;80
139;Deidra & Laney Rob a Train;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2017;86.0;82
140;Hurricane Bianca;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;89.0;82
141;Honeytrap;NR;This movie has not been rated.;2014;77.0;82
142;Greenleaf;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;62.0;80
143;Lazy Eye;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;89.0;82
144;Like Cotton Twines;NR;This movie has not been rated.;2016;77.0;82
145;The Wedding Party;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;86.0;82
146;Boy Bye;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;89.0;82
147;Nancy Drew;PG;Parental guidance suggested. May not be suitable for children.;2007;86.0;82
148;Nurse Jackie;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2015;82.0;80
149;Drop Dead Diva;TV-PG;Parental guidance suggested. May not be suitable for all children.;2014;88.0;82
150;Gilmore Girls;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2006;91.0;80
151;Parenthood;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2014;79.0;80
152;Life Unexpected;TV-PG;Parental guidance suggested. May not be suitable for all children.;2010;55.0;80
153;Being Human (U.S.);TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2014;58.0;80
154;The Carrie Diaries;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2013;86.0;82
155;Baby Daddy;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;80.0;80
156;The Angriest Man in Brooklyn;R;Restricted. May be inappropriate for children 17 and under.;2014;79.0;82
157;Sense8;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2017;81.0;80
158;Girlfriends' Guide to Divorce;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2015;63.0;80
159;Fried;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2015;89.0;82
160;The Great Gilly Hopkins;PG;for thematic material and language;2016;69.0;80
161;The Magicians;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;89.0;80
162;One Day at a Time;TV-PG;Parental guidance suggested. May not be suitable for all children.;2017;88.0;82
163;Better Off Single;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;89.0;82
164;The Matchbreaker;PG;Parental guidance suggested. May not be suitable for children.;2016;79.0;80
165;Tramps;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2017;89.0;82
166;Slam;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2017;89.0;82
167;The Waterboy;PG-13;language and some crude sexual humor;1998;82.0;80
168;10 Things I Hate About You;PG-13;adult content, adult language and mild violence;1999;68.0;80
169;Grease;PG;Parental guidance suggested. May not be suitable for children.;1978;86.0;80
170;How to Lose a Guy in 10 Days;PG-13;some sex-related material;2003;56.0;80
171;The Benchwarmers;PG-13;crude and suggestive humor, and for language;2006;77.0;80
172;Step Up;PG-13;thematic elements, brief violence and innuendo;2006;64.0;80
173;High School Musical 2;TV-G;Suitable for all ages.;2007;58.0;80
174;Twilight;PG-13;some violence and one sexual scene;2008;89.0;80
175;Coraline;PG;thematic elements, scary images, some language and suggestive humor;2009;95.0;80
176;Hannah Montana: The Movie;G;General Audiences. Suitable for all ages.;2009;56.0;80
177;Friday Night Lights;TV-PG;Parental guidance suggested. May not be suitable for all children.;2010;81.0;80
178;StarStruck;TV-G;Suitable for all ages.;2010;74.0;82
179;Mean Girls 2;PG-13;For some rude and suggestive material, and for language.;2011;68.0;82
180;That '70s Show;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2005;89.0;80
181;Heartland;TV-PG;Parental guidance suggested. May not be suitable for all children.;2015;85.0;80
182;Switched at Birth;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2015;83.0;80
183;Hart of Dixie;TV-PG;Parental guidance suggested. May not be suitable for all children.;2014;81.0;80
184;Safe Haven;PG-13;thematic material involving threatening behavior, and for violence and sexuality;2013;62.0;80
